Algorithm,time,n,m,scenario
binary_search,6.91413879395e-06,11,3,random
binary_search,5.96046447754e-06,22,6,aaa
binary_search,4.05311584473e-06,21,6,random
binary_search,4.05311584473e-06,42,12,aaa
binary_search,4.05311584473e-06,31,10,random
binary_search,5.00679016113e-06,62,20,aaa
binary_search,5.00679016113e-06,41,13,random
binary_search,5.96046447754e-06,82,26,aaa
binary_search,5.00679016113e-06,51,16,random
binary_search,5.00679016113e-06,102,32,aaa
binary_search,5.00679016113e-06,61,20,random
binary_search,7.15255737305e-06,122,40,aaa
binary_search,3.81469726562e-06,71,23,random
binary_search,4.05311584473e-06,142,46,aaa
binary_search,5.96046447754e-06,81,26,random
binary_search,5.00679016113e-06,162,52,aaa
binary_search,5.00679016113e-06,91,30,random
binary_search,5.00679016113e-06,182,60,aaa
binary_search,4.05311584473e-06,101,33,random
binary_search,5.96046447754e-06,202,66,aaa
binary_search,5.96046447754e-06,111,36,random
binary_search,5.96046447754e-06,222,72,aaa
binary_search,5.00679016113e-06,121,40,random
binary_search,5.00679016113e-06,242,80,aaa
binary_search,5.00679016113e-06,131,43,random
binary_search,5.00679016113e-06,262,86,aaa
binary_search,5.00679016113e-06,141,46,random
binary_search,5.96046447754e-06,282,92,aaa
binary_search,5.96046447754e-06,151,50,random
binary_search,5.96046447754e-06,302,100,aaa
binary_search,5.96046447754e-06,161,53,random
binary_search,7.15255737305e-06,322,106,aaa
binary_search,5.00679016113e-06,171,56,random
binary_search,8.10623168945e-06,342,112,aaa
binary_search,5.96046447754e-06,181,60,random
binary_search,5.96046447754e-06,362,120,aaa
binary_search,6.91413879395e-06,191,63,random
binary_search,6.91413879395e-06,382,126,aaa
binary_search,5.00679016113e-06,201,66,random
binary_search,5.96046447754e-06,402,132,aaa
binary_search,5.96046447754e-06,211,70,random
binary_search,1.38282775879e-05,422,140,aaa
binary_search,8.10623168945e-06,221,73,random
binary_search,1.31130218506e-05,442,146,aaa
binary_search,8.10623168945e-06,231,76,random
binary_search,7.86781311035e-06,462,152,aaa
binary_search,5.96046447754e-06,241,80,random
binary_search,7.15255737305e-06,482,160,aaa
binary_search,5.96046447754e-06,251,83,random
binary_search,6.91413879395e-06,502,166,aaa
binary_search,5.96046447754e-06,261,86,random
binary_search,9.05990600586e-06,522,172,aaa
binary_search,5.96046447754e-06,271,90,random
binary_search,6.91413879395e-06,542,180,aaa
binary_search,5.96046447754e-06,281,93,random
binary_search,5.96046447754e-06,562,186,aaa
binary_search,5.96046447754e-06,291,96,random
binary_search,5.96046447754e-06,582,192,aaa
binary_search,7.15255737305e-06,301,100,random
binary_search,9.05990600586e-06,602,200,aaa
binary_search,7.86781311035e-06,311,103,random
binary_search,7.15255737305e-06,622,206,aaa
binary_search,6.91413879395e-06,321,106,random
binary_search,6.91413879395e-06,642,212,aaa
binary_search,5.96046447754e-06,331,110,random
binary_search,6.19888305664e-06,662,220,aaa
binary_search,5.96046447754e-06,341,113,random
binary_search,5.96046447754e-06,682,226,aaa
binary_search,5.96046447754e-06,351,116,random
binary_search,6.19888305664e-06,702,232,aaa
binary_search,5.00679016113e-06,361,120,random
binary_search,5.96046447754e-06,722,240,aaa
binary_search,6.19888305664e-06,371,123,random
binary_search,6.19888305664e-06,742,246,aaa
binary_search,7.15255737305e-06,381,126,random
binary_search,5.96046447754e-06,762,252,aaa
binary_search,2.09808349609e-05,391,130,random
binary_search,5.96046447754e-06,782,260,aaa
binary_search,6.91413879395e-06,401,133,random
binary_search,6.91413879395e-06,802,266,aaa
binary_search,2.00271606445e-05,411,136,random
binary_search,7.86781311035e-06,822,272,aaa
binary_search,9.05990600586e-06,421,140,random
binary_search,8.10623168945e-06,842,280,aaa
binary_search,8.10623168945e-06,431,143,random
binary_search,1.21593475342e-05,862,286,aaa
binary_search,1.31130218506e-05,441,146,random
binary_search,1.00135803223e-05,882,292,aaa
binary_search,1.09672546387e-05,451,150,random
binary_search,9.77516174316e-06,902,300,aaa
binary_search,9.05990600586e-06,461,153,random
binary_search,8.82148742676e-06,922,306,aaa
binary_search,7.86781311035e-06,471,156,random
binary_search,8.10623168945e-06,942,312,aaa
binary_search,1.19209289551e-05,481,160,random
binary_search,7.86781311035e-06,962,320,aaa
binary_search,7.15255737305e-06,491,163,random
binary_search,6.91413879395e-06,982,326,aaa
binary_search,5.96046447754e-06,501,166,random
binary_search,7.15255737305e-06,1002,332,aaa
binary_search,5.96046447754e-06,511,170,random
binary_search,8.10623168945e-06,1022,340,aaa
binary_search,5.00679016113e-06,521,173,random
binary_search,5.96046447754e-06,1042,346,aaa
binary_search,6.91413879395e-06,531,176,random
binary_search,6.91413879395e-06,1062,352,aaa
binary_search,7.15255737305e-06,541,180,random
binary_search,5.96046447754e-06,1082,360,aaa
binary_search,5.96046447754e-06,551,183,random
binary_search,7.15255737305e-06,1102,366,aaa
binary_search,6.91413879395e-06,561,186,random
binary_search,7.15255737305e-06,1122,372,aaa
binary_search,2.47955322266e-05,571,190,random
binary_search,1.8835067749e-05,1142,380,aaa
binary_search,1.09672546387e-05,581,193,random
binary_search,1.19209289551e-05,1162,386,aaa
binary_search,8.82148742676e-06,591,196,random
binary_search,1.00135803223e-05,1182,392,aaa
binary_search,9.05990600586e-06,601,200,random
