Algorithm,time,n,
bwt_search,3.09944152832e-06,3,3
bwt_search,1.90734863281e-06,6,4
bwt_search,2.14576721191e-06,19,8
bwt_search,2.14576721191e-06,42,15
bwt_search,1.90734863281e-06,75,26
bwt_search,1.90734863281e-06,118,40
bwt_search,1.90734863281e-06,171,57
bwt_search,1.90734863281e-06,234,78
bwt_search,2.14576721191e-06,307,102
bwt_search,1.90734863281e-06,390,129
bwt_search,3.81469726562e-06,483,160
bwt_search,4.05311584473e-06,586,194
bwt_search,3.81469726562e-06,699,231
bwt_search,4.05311584473e-06,822,272
bwt_search,4.05311584473e-06,955,316
bwt_search,5.00679016113e-06,1098,363
bwt_search,6.91413879395e-06,1251,414
bwt_search,6.91413879395e-06,1414,468
bwt_search,7.86781311035e-06,1587,525
bwt_search,2.59876251221e-05,1770,586
bwt_search,9.77516174316e-06,1963,650
bwt_search,1.00135803223e-05,2166,717
bwt_search,1.38282775879e-05,2379,788
bwt_search,1.59740447998e-05,2602,862
bwt_search,1.09672546387e-05,2835,939
bwt_search,1.31130218506e-05,3078,1020
bwt_search,1.59740447998e-05,3331,1104
bwt_search,1.28746032715e-05,3594,1191
bwt_search,1.50203704834e-05,3867,1282
bwt_search,2.90870666504e-05,4150,1376
bwt_search,1.78813934326e-05,4443,1473
bwt_search,2.59876251221e-05,4746,1574
bwt_search,1.69277191162e-05,5059,1678
bwt_search,1.90734863281e-05,5382,1785
bwt_search,2.09808349609e-05,5715,1896
bwt_search,2.21729278564e-05,6058,2010
bwt_search,2.40802764893e-05,6411,2127
bwt_search,2.50339508057e-05,6774,2248
bwt_search,9.20295715332e-05,7147,2372
bwt_search,3.60012054443e-05,7530,2499
bwt_search,3.09944152832e-05,7923,2630
bwt_search,7.20024108887e-05,8326,2764
bwt_search,4.50611114502e-05,8739,2901
bwt_search,7.31945037842e-05,9162,3042
bwt_search,8.98838043213e-05,9595,3186
bwt_search,3.69548797607e-05,10038,3333
bwt_search,4.00543212891e-05,10491,3484
bwt_search,5.88893890381e-05,10954,3638
bwt_search,6.19888305664e-05,11427,3795
bwt_search,0.000136137008667,11910,3956
bwt_search,7.20024108887e-05,12403,4120
bwt_search,6.31809234619e-05,12906,4287
bwt_search,0.000120162963867,13419,4458
bwt_search,9.29832458496e-05,13942,4632
bwt_search,5.50746917725e-05,14475,4809
bwt_search,7.79628753662e-05,15018,4990
bwt_search,0.000138998031616,15571,5174
bwt_search,6.103515625e-05,16134,5361
bwt_search,6.29425048828e-05,16707,5552
bwt_search,5.91278076172e-05,17290,5746
bwt_search,6.19888305664e-05,17883,5943
bwt_search,6.60419464111e-05,18486,6144
bwt_search,8.29696655273e-05,19099,6348
bwt_search,7.5101852417e-05,19722,6555
bwt_search,8.60691070557e-05,20355,6766
bwt_search,7.9870223999e-05,20998,6980
bwt_search,8.70227813721e-05,21651,7197
bwt_search,9.29832458496e-05,22314,7418
bwt_search,9.10758972168e-05,22987,7642
bwt_search,9.29832458496e-05,23670,7869
bwt_search,9.3936920166e-05,24363,8100
bwt_search,0.000115156173706,25066,8334
bwt_search,0.0001220703125,25779,8571
bwt_search,0.000100135803223,26502,8812
bwt_search,0.000118970870972,27235,9056
bwt_search,0.000146150588989,27978,9303
bwt_search,0.000168085098267,28731,9554
bwt_search,0.000129222869873,29494,9808
bwt_search,0.000115156173706,30267,10065
bwt_search,0.000136137008667,31050,10326
bwt_search,0.000128984451294,31843,10590
bwt_search,0.000349044799805,32646,10857
bwt_search,0.000133991241455,33459,11128
bwt_search,0.000135898590088,34282,11402
bwt_search,0.00016713142395,35115,11679
bwt_search,0.000149011611938,35958,11960
bwt_search,0.000135898590088,36811,12244
bwt_search,0.000149965286255,37674,12531
bwt_search,0.000180006027222,38547,12822
bwt_search,0.000202894210815,39430,13116
bwt_search,0.000234842300415,40323,13413
bwt_search,0.000147104263306,41226,13714
bwt_search,0.000159978866577,42139,14018
bwt_search,0.0001540184021,43062,14325
bwt_search,0.000198841094971,43995,14636
bwt_search,0.000472068786621,44938,14950
bwt_search,0.000167846679688,45891,15267
bwt_search,0.000313997268677,46854,15588
bwt_search,0.000198841094971,47827,15912
bwt_search,0.000177145004272,48810,16239
