Algorithm,time,n
radix_sort,9.54E-07,1
radix_sort,1.50E-05,101
radix_sort,1.29E-05,201
radix_sort,1.22E-05,301
radix_sort,1.31E-05,401
radix_sort,7.01E-05,501
radix_sort,5.41E-05,601
radix_sort,4.10E-05,701
radix_sort,4.98E-05,801
radix_sort,4.89E-05,901
radix_sort,5.29E-05,1001
radix_sort,5.39E-05,1101
radix_sort,5.39E-05,1201
radix_sort,5.39E-05,1301
radix_sort,6.68E-05,1401
radix_sort,6.10E-05,1501
radix_sort,5.98E-05,1601
radix_sort,7.20E-05,1701
radix_sort,7.08E-05,1801
radix_sort,6.82E-05,1901
radix_sort,6.70E-05,2001
radix_sort,7.92E-05,2101
radix_sort,7.87E-05,2201
radix_sort,7.87E-05,2301
radix_sort,9.01E-05,2401
radix_sort,8.99E-05,2501
radix_sort,0.000160933,2601
radix_sort,0.000136137,2701
radix_sort,0.000164747,2801
radix_sort,0.000189781,2901
radix_sort,0.000137329,3001
radix_sort,0.000182867,3101
radix_sort,0.000136852,3201
radix_sort,0.000127792,3301
radix_sort,0.000138998,3401
radix_sort,0.000142813,3501
radix_sort,0.000138044,3601
radix_sort,0.000148058,3701
radix_sort,0.000146151,3801
radix_sort,0.000147104,3901
radix_sort,0.000146866,4001
radix_sort,0.000156879,4101
radix_sort,0.000323772,4201
radix_sort,0.000224113,4301
radix_sort,0.000224113,4401
radix_sort,0.000185251,4501
radix_sort,0.000180006,4601
radix_sort,0.000369787,4701
radix_sort,0.000275135,4801
radix_sort,0.000274897,4901
radix_sort,0.000242233,5001
radix_sort,0.000231981,5101
radix_sort,0.000239849,5201
radix_sort,0.000218153,5301
radix_sort,0.000202894,5401
radix_sort,0.000200748,5501
radix_sort,0.000200987,5601
radix_sort,0.000271082,5701
radix_sort,0.000455856,5801
radix_sort,0.000360966,5901
radix_sort,0.000320911,6001
radix_sort,0.000320911,6101
radix_sort,0.000293016,6201
radix_sort,0.000276089,6301
radix_sort,0.000252247,6401
radix_sort,0.000262976,6501
radix_sort,0.000266075,6601
radix_sort,0.000265121,6701
radix_sort,0.000264883,6801
radix_sort,0.000267029,6901
radix_sort,0.000267029,7001
radix_sort,0.000266075,7101
radix_sort,0.000269175,7201
