mapper              time
bwa                 0.00
bwa                 0.00
bwa                 0.00
bwa                 0.00
bwa                 0.00
bw_readmapper       0.00
bw_readmapper       0.00
bw_readmapper       0.00
bw_readmapper       0.00
bw_readmapper       0.00
border_map          0.44
border_map          0.41
border_map          0.41
border_map          0.41
border_map          0.42
mybw_mapper         2.24
mybw_mapper         1.94
mybw_mapper         1.94
mybw_mapper         1.92
mybw_mapper         2.03
