mapper                  time
bwa                     0.00
bwa                     0.00
bwa                     0.00
bwa                     0.00
bwa                     0.00
bw_readmapper           0.00
bw_readmapper           0.00
bw_readmapper           0.00
bw_readmapper           0.00
bw_readmapper           0.00
border_map              0.23
border_map              0.22
border_map              0.23
border_map              0.23
border_map              0.22
binary_search_map       2.61
binary_search_map       2.57
binary_search_map       2.60
binary_search_map       2.80
binary_search_map       2.70
