mapper              time
bwa                 0.00
bwa                 0.00
bwa                 0.00
bwa                 0.00
bwa                 0.00
bw_readmapper       0.00
bw_readmapper       0.00
bw_readmapper       0.00
bw_readmapper       0.00
bw_readmapper       0.00
border_map          0.44
border_map          0.44
border_map          0.46
border_map          0.46
border_map          0.51
mybw_mapper         3.05
mybw_mapper         2.63
mybw_mapper         2.73
mybw_mapper         2.66
mybw_mapper         2.71
